дата,день,формат,рубрика,тема,содержание,призыв_к_действию,статус,ответственный,примечания
2026-03-12,Чт,Пост-карусель,Экспертный контент,МФР против отеков,"5 слайдов: причины отеков; как МФР улучшает лимфоток; 3 зоны для проработки; частые ошибки; мини-план на 7 дней",Сохрани и сделай вечером,Идея,,
2026-03-13,Пт,Сторис,Вовлечение,Где больше всего зажимов?,"Опрос: шея/поясница/ноги; шкала боли 1-10; стикер вопроса",Ответь в опросе,Идея,,
2026-03-14,Сб,Пост-чеклист,Сохранения,Антистресс вечером,"Чеклист на 10 минут: дыхание; мягкий МФР; растяжка; вода; сон",Сохрани чеклист,Идея,,
2026-03-15,Вс,Сторис + отзывы,Социальное доказательство,Что говорят клиентки FlyFit,"Скрины отзывов WB; 2-3 тезиса о пользе; аккуратный продуктовый кадр",Перейти по артикулу,Идея,,
2026-03-16,Пн,Пост-карусель,Обучение,5 ошибок в МФР,"Ошибки новичков; как исправить технику; безопасная интенсивность",Отправь подруге,Идея,,
2026-03-17,Вт,"Сторис: вопросы и ответы",Вопрос-ответ,Разбор вопросов подписчиц,"Стикер вопросов по коврикам и валикам; ответы в 5-7 сторис",Задать вопрос,Идея,,
2026-03-18,Ср,Пост,Мотивация,10 минут лучше чем 0,"Текст для мам и работающих девушек: реалистичный режим; бережная дисциплина",Напиши ПЛАН в комментарии,Идея,,
2026-03-19,Чт,Сторис,Продуктовый контент,Как выбрать валик под себя,"Мини-гайд: мягкий/средний/жесткий; кому какой подходит; примеры задач",Узнать артикул,Идея,,
2026-03-20,Пт,Пост-кейс,Кейсы клиентов,Точка А -> Точка Б за 2 недели,"История клиентки: боль в спине и отеки; что делала; какой результат",Хочу так же,Идея,,
2026-03-21,Сб,Сторис,"День пользовательского контента",Подписчицы с FlyFit,"Репосты отметок; 3-5 фото/видео клиентов; благодарность комьюнити",Отметь нас в сторис,Идея,,
2026-03-22,Вс,Пост,ПП-рубрика,Быстрый белковый завтрак,"Рецепт на 5-10 минут; КБЖУ; когда есть до/после активности",Сохрани рецепт,Идея,,
2026-03-23,Пн,Сторис,Интерактив,Миф или правда про МФР,"3 коротких тезиса; голосование; финальные разборы",Выбери вариант,Идея,,
2026-03-24,Вт,Пост-анонс,Продукт/комьюнити,Закрытый клуб FlyFit,"Что внутри клуба; кому подойдет; формат и ценность",Перейти в бот/клуб,Идея,,
2026-03-25,Ср,Сторис,Развлекательный контент,Фитнес-типаж/гороскоп,"Легкий развлекательный формат; вовлекающий опрос; мягкий тон",Поделиться с подругой,Идея,,
