id_поста,дата,текст,ссылка
1958,2026-03-11T12:42:49+00:00,"📢 Как просмотр роликов в соцсетях мешает вам похудеть?

Замечали, как перед тренировкой рука так и тянется к телефону? И как за просмотром роликов мотивация начать комплекс упражнений все ниже и ниже 🤔 

Это не случайность, а ловушка, которая саботирует ваши спортивные цели!

Что такое ""дешевый дофамин"" и как он влияет на ваше здоровье? Рассказали в карточках 👉

Что скажете, согласны с тем, что просмотр роликов влияет на вашу мотивацию, силу воли и выносливость?",https://t.me/yourfit_store/1958
1957,2026-03-11T07:05:58+00:00,,https://t.me/yourfit_store/1957
1956,2026-03-10T14:00:24+00:00,"Розыгрыш от ProteinRex х YourFit 

Ну как же тренировки без спортивного инвентаря и протеиновых батончиков? Мы тоже думаем, что никак! Поэтому решили подарить вам подарки от бренда стильного спортивного инвентаря YourFit и производителя здорового питания ProteinRex, чтобы вы быстрее пришли к своим целям🔥

Мы дарим два классных подарка:
- 1 победитель получит бокс протеиновых батончиков без сахара ProteinRex STRONG Ассорти 12 шт.
- 2 победитель получит набор инвентаря YourFit на сумму 2500 руб.

Как участвовать? 
1️⃣ Подпишитесь на protein_rex и yourfit
2️⃣ Оставьте любые реакции под 3 последними публикациями
3️⃣ Нажмите кнопку «Участвовать»

Мы объявим победителей 17 марта, результаты появятся в этом посте 🤍",https://t.me/yourfit_store/1956
1955,2026-03-10T07:35:02+00:00,"Тренировка для тазобедренного сустава, который двигается как по маслу 🧈

Тазобедренные суставы — это центр нашей биомеханики. Когда они «заблокированы», нагрузку за них забирают поясница и колени, что ведет к болям и дискомфорту. 

Этот комплекс идеально подойдет как разминка перед основной тренировкой или как самостоятельный ритуал после рабочего дня.

▫️ Что понадобится:
— коврик (много цветов на WB и OZON)

📎 Обязательно сохраняйте его, чтобы не потерять! Еще больше эффективных тренировок на все группы мышец собраны в нашем боте: @yourfithelper_bot.

Ставьте ❤️, если наберем 300 реакций на этот пост, выложим дополнительную полноценную тренировку от тренера!",https://t.me/yourfit_store/1955
1947,2026-03-09T09:48:54+00:00,"Делимся шпаргалкой — какие продукты в рационе заряжают энергией с самого утра ⚡️

В нашей рубрике #бодрыйпонедельник_yourfit сегодня то, что поможет перейти от выходных к рабочим будням. Листайте карточки 👉

Про пользу овощей напоминать не будем — вы и так профи в ЗОЖ 😉

Пишите в комментариях, что обычно в вашей тарелке на завтрак? Составим идеальный утренний рацион вместе🍳",https://t.me/yourfit_store/1947
1946,2026-03-08T10:28:08+00:00,"С 8 Марта, наши прекрасные женщины! 🌸

Вы — наше главное вдохновение. 
Мы восхищаемся тем, как вы совмещаете тысячи дел и при этом находите время для работы над собой. Пусть ваши тренировки приносят только эндорфины, а отражение в зеркале влюбляет в себя снова и снова!

Спасибо, что выбираете YourFit для своего пути к совершенству. Вы — лучшие ❤️",https://t.me/yourfit_store/1946
1938,2026-03-07T10:44:01+00:00,"Наш главный мотиватор на WB и OZON — это... ваши отзывы! ❤️

Листать ленту с вашими фотографиями — это отдельный вид эстетического удовольствия. Спасибо, что доверяете нам свой комфорт на каждой тренировке! 

Ваша обратная связь помогает нам становиться лучше, а другим — сделать правильный выбор. 

✨ Еще больше честных слов про наши товары вы можете найти на WB и OZON",https://t.me/yourfit_store/1938
1934,2026-03-07T06:56:11+00:00,"Девочки, мы же знаем: фитнес — это не только про гантели и кроссовки, это про характер, чувство юмора и умение выглядеть на все сто даже после 50-ти берпи😂

Собрали для вас подборку спортивных мемов. Пишите, что для вас жизненно? 👇",https://t.me/yourfit_store/1934
1933,2026-03-06T12:54:39+00:00,"Ну что, мы набрали нужное количество реакций а потому смотрим полный обзор на нашу новинку — спортивные шейкеры 3 в 1 🔥

Кто скучал по обзорам от Лены?

Уже совсем скоро будут в продаже на маркетплейсах!

Что скажете, полезная вещь, будете пользоваться?",https://t.me/yourfit_store/1933
1928,2026-03-06T08:41:18+00:00,"Эффективное решение для дряблых рук, ушек на бедрах и не только 🔥

Знакомо то чувство, когда тренируешься на совесть, а ""проблемные"" зоны никак не хотят сдаваться?

Весна уже на пороге, и самое время перестать бороться с телом и начать с ним договариваться. В карточках выше мы собрали готовые чит-коды для самых проблемных зон. 

🌸 А чтобы процесс преображения был еще приятнее, мы подготовили для вас промокод на WB. Это отличный повод порадовать себя новым инвентарем:

8VESNA15 дает скидку -15% на все товары в нашем магазине

Какая зона для тебя сейчас в приоритете: боремся с отеками или работаем над тонусом рук?",https://t.me/yourfit_store/1928
